"";"title";"Year"
"495";"Dangerous Liaisons";"1988"
"496";"Who Framed Roger Rabbit";"1988"
"497";"Mississippi Burning";"1988"
"498";"Working Girl";"1988"
"499";"The Accidental Tourist";"1988"
"500";"A Fish Called Wanda";"1988"
"501";"Pelle the Conqueror (Pelle erobreren)";"1988"
"502";"The Accused";"1988"
"503";"The Appointments of Dennis Jennings";"1988"
"504";"Beetlejuice";"1988"
"505";"Bird";"1988"
"506";"Hôtel Terminus: The Life and Times of Klaus Barbie";"1988"
"507";"The Milagro Beanfield War";"1988"
"508";"Tin Toy";"1988"
"509";"You Don't Have to Die";"1988"
"510";"The Last Emperor";"1987"
"511";"Moonstruck";"1987"
"512";"The Untouchables";"1987"
"513";"Babette's Feast (Babettes gæstebud)";"1987"
"514";"Dirty Dancing";"1987"
"515";"Harry and the Hendersons";"1987"
"516";"Innerspace";"1987"
"517";"The Man Who Planted Trees (L' Homme qui plantait des arbres)";"1987"
"518";"Ray's Male Heterosexual Dance Hall";"1987"
"519";"The Ten-Year Lunch";"1987"
"520";"Wall Street";"1987"
"521";"Young at Heart";"1987"
"522";"RoboCop";"1987"
"523";"Platoon";"1986"
"524";"A Room with a View";"1986"
"525";"Hannah and Her Sisters";"1986"
"526";"Aliens";"1986"
"527";"The Mission";"1986"
"528";"Children of a Lesser God";"1986"
"529";"The Color of Money";"1986"
"530";"Top Gun";"1986"
"531";"Round Midnight";"1986"
"532";"Artie Shaw: Time Is All You've Got";"1986"
"533";"The Assault (De Aanslag)";"1986"
"534";"Down and Out in America";"1986"
"535";"The Fly";"1986"
"536";"A Greek Tragedy";"1986"
"537";"Precious Images";"1986"
"538";"Women – for America, for the World";"1986"
"539";"Out of Africa";"1985"
"540";"Witness";"1985"
"541";"Cocoon";"1985"
"542";"Prizzi's Honor";"1985"
"543";"Back to the Future";"1985"
"544";"Kiss of the Spider Woman";"1985"
"545";"Ran";"1985"
"546";"The Official Story (La Historia Oficial)";"1985"
"547";"The Trip to Bountiful";"1985"
"548";"White Nights";"1985"
"549";"Anna & Bella";"1985"
"550";"Broken Rainbow";"1985"
"551";"Mask";"1985"
"552";"Molly's Pilgrim";"1985"
"553";"Witness to War: Dr. Charlie Clements";"1985"
"554";"Amadeus";"1984"
"555";"The Killing Fields";"1984"
"556";"A Passage to India";"1984"
"557";"Places in the Heart";"1984"
"558";"Indiana Jones and the Temple of Doom";"1984"
"559";"Charade";"1984"
"560";"Dangerous Moves (La Diagonale du fou)";"1984"
"561";"Purple Rain";"1984"
"562";"The Stone Carvers";"1984"
"563";"The Times of Harvey Milk";"1984"
"564";"Up";"1984"
"565";"The Woman in Red";"1984"
"566";"The River";"1984"
"567";"Terms of Endearment";"1983"
"568";"The Right Stuff";"1983"
"569";"Fanny & Alexander (Fanny och Alexander)";"1983"
"570";"Tender Mercies";"1983"
"571";"Yentl";"1983"
"572";"Flashdance";"1983"
"573";"Boys and Girls";"1983"
"574";"Flamenco at 5:15";"1983"
"575";"He Makes Me Feel Like Dancin'";"1983"
"576";"Sundae in New York";"1983"
